flow
0
0
0
0
0
0
5.25
10.8
2.25
0
0
0
0
0
0
0
0
7
-1
9.5
7
8
9
10
8
7.8
10
9
1
8
9.25
9
-1
11.8
9
8.25
7
13.5
11
11
12
12
16.5
12.8
7
11.8
12
13
13
11
9
11
14
12
12
12.8
9
9.8
10
12.8
13.600000000000001
10
10
9
10
10.8
10
7
14
14
13.05
9.8
13.8
11
12
11
11
9.8
-1
6
8
8
7
3
6
6
9.8
4.8
5
7.8
4
4
6.25
5
7
2
4
2
5
6.8
4.8
8
3
4
5
8.6
7
4
7
4
5.8
7
4
6
4
7.8
6
6
5.25
4.25
5
3
9
3
6
5.8
8
6.8
6
5
7
4
9
1
6
6.8
5
3
5
5
4
8.8
6
4
4
5
4
7
2
10
4
9
5.25
3
2
5
5
5.8
4
4.25
2
2
4
2
2
3.8
4
6
6.25
2.25
3
3
2
2
4
3
1
4
3
5
2.8
3
2
3
0
2.8
4
0
2
1
1
0
1
2
3.8
2
2
3
0
2
1
1
0
3
1
1
2
2
2
2
2
2
0
1
3
0
2
2
0
1
3
1
0
3
1
2
1
0
1
1
2
0
0
0
1
1
0
1
1
2
1
0
